fips_code,county,state,sum,run_start_time
01037,Coosa,Alabama,12,2014-11-01 04:00:00
01051,Elmore,Alabama,7,2014-11-01 04:00:00
01109,Pike,Alabama,1,2014-11-01 04:00:00
01121,Talladega,Alabama,31,2014-11-01 04:00:00
04017,Navajo,Arizona,1,2014-11-01 04:00:00
05009,Boone,Arkansas,3,2014-11-01 04:00:00
05119,Pulaski,Arkansas,1,2014-11-01 04:00:00
06029,Kern,California,30,2014-11-01 04:00:00
06037,Los Angeles,California,1555,2014-11-01 04:00:00
06065,Riverside,California,2,2014-11-01 04:00:00
06113,Yolo,California,1,2014-11-01 04:00:00
08001,Adams,Colorado,1,2014-11-01 04:00:00
08059,Jefferson,Colorado,19,2014-11-01 04:00:00
08097,Pitkin,Colorado,1,2014-11-01 04:00:00
12011,Broward,Florida,17,2014-11-01 04:00:00
12021,Collier,Florida,14,2014-11-01 04:00:00
12069,Lake,Florida,1,2014-11-01 04:00:00
12071,Lee,Florida,1,2014-11-01 04:00:00
12085,Martin,Florida,12,2014-11-01 04:00:00
12086,Miami-Dade,Florida,72,2014-11-01 04:00:00
12091,Okaloosa,Florida,2,2014-11-01 04:00:00
12095,Orange,Florida,1,2014-11-01 04:00:00
12099,Palm Beach,Florida,37,2014-11-01 04:00:00
12105,Polk,Florida,3,2014-11-01 04:00:00
12115,Sarasota,Florida,2,2014-11-01 04:00:00
12121,Suwannee,Florida,2,2014-11-01 04:00:00
12127,Volusia,Florida,1,2014-11-01 04:00:00
13021,Bibb,Georgia,1298,2014-11-01 04:00:00
13051,Chatham,Georgia,4,2014-11-01 04:00:00
13055,Chattooga,Georgia,61,2014-11-01 04:00:00
13057,Cherokee,Georgia,58,2014-11-01 04:00:00
13063,Clayton,Georgia,24,2014-11-01 04:00:00
13083,Dade,Georgia,511,2014-11-01 04:00:00
13085,Dawson,Georgia,1,2014-11-01 04:00:00
13089,DeKalb,Georgia,262,2014-11-01 04:00:00
13097,Douglas,Georgia,20,2014-11-01 04:00:00
13103,Effingham,Georgia,5,2014-11-01 04:00:00
13121,Fulton,Georgia,295,2014-11-01 04:00:00
13123,Gilmer,Georgia,27,2014-11-01 04:00:00
13135,Gwinnett,Georgia,55,2014-11-01 04:00:00
13145,Harris,Georgia,26,2014-11-01 04:00:00
13151,Henry,Georgia,1,2014-11-01 04:00:00
13153,Houston,Georgia,5,2014-11-01 04:00:00
13171,Lamar,Georgia,2,2014-11-01 04:00:00
13187,Lumpkin,Georgia,30,2014-11-01 04:00:00
13193,Macon,Georgia,323,2014-11-01 04:00:00
13197,Marion,Georgia,29,2014-11-01 04:00:00
13199,Meriwether,Georgia,40,2014-11-01 04:00:00
13207,Monroe,Georgia,23,2014-11-01 04:00:00
13215,Muscogee,Georgia,112,2014-11-01 04:00:00
13217,Newton,Georgia,1,2014-11-01 04:00:00
13231,Pike,Georgia,33,2014-11-01 04:00:00
13269,Taylor,Georgia,18,2014-11-01 04:00:00
17011,Bureau,Illinois,1,2014-11-01 04:00:00
17031,Cook,Illinois,4231,2014-11-01 04:00:00
17035,Cumberland,Illinois,1,2014-11-01 04:00:00
17037,DeKalb,Illinois,1,2014-11-01 04:00:00
17043,DuPage,Illinois,32,2014-11-01 04:00:00
17075,Iroquois,Illinois,1,2014-11-01 04:00:00
17091,Kankakee,Illinois,86,2014-11-01 04:00:00
17095,Knox,Illinois,2,2014-11-01 04:00:00
17097,Lake,Illinois,26,2014-11-01 04:00:00
17099,LaSalle,Illinois,13,2014-11-01 04:00:00
17111,McHenry,Illinois,1,2014-11-01 04:00:00
17119,Madison,Illinois,1,2014-11-01 04:00:00
17143,Peoria,Illinois,1,2014-11-01 04:00:00
17179,Tazewell,Illinois,1,2014-11-01 04:00:00
17197,Will,Illinois,39,2014-11-01 04:00:00
17201,Winnebago,Illinois,73,2014-11-01 04:00:00
17203,Woodford,Illinois,16,2014-11-01 04:00:00
18001,Adams,Indiana,68,2014-11-01 04:00:00
18003,Allen,Indiana,1660,2014-11-01 04:00:00
18013,Brown,Indiana,3,2014-11-01 04:00:00
18021,Clay,Indiana,1,2014-11-01 04:00:00
18031,Decatur,Indiana,34,2014-11-01 04:00:00
18033,DeKalb,Indiana,1,2014-11-01 04:00:00
18041,Fayette,Indiana,613,2014-11-01 04:00:00
18045,Fountain,Indiana,143,2014-11-01 04:00:00
18057,Hamilton,Indiana,88,2014-11-01 04:00:00
18063,Hendricks,Indiana,57,2014-11-01 04:00:00
18069,Huntington,Indiana,31,2014-11-01 04:00:00
18091,LaPorte,Indiana,54,2014-11-01 04:00:00
18095,Madison,Indiana,31,2014-11-01 04:00:00
18097,Marion,Indiana,337,2014-11-01 04:00:00
18099,Marshall,Indiana,5,2014-11-01 04:00:00
18105,Monroe,Indiana,101,2014-11-01 04:00:00
18107,Montgomery,Indiana,31,2014-11-01 04:00:00
18109,Morgan,Indiana,40,2014-11-01 04:00:00
18141,St. Joseph,Indiana,107,2014-11-01 04:00:00
18145,Shelby,Indiana,299,2014-11-01 04:00:00
18153,Sullivan,Indiana,1,2014-11-01 04:00:00
18157,Tippecanoe,Indiana,358,2014-11-01 04:00:00
18167,Vigo,Indiana,224,2014-11-01 04:00:00
18171,Warren,Indiana,55,2014-11-01 04:00:00
19033,Cerro Gordo,Iowa,1,2014-11-01 04:00:00
19113,Linn,Iowa,2,2014-11-01 04:00:00
20045,Douglas,Kansas,45,2014-11-01 04:00:00
20091,Johnson,Kansas,2,2014-11-01 04:00:00
20173,Sedgwick,Kansas,1,2014-11-01 04:00:00
20209,Wyandotte,Kansas,1,2014-11-01 04:00:00
